nombre;abono;distrito;modalidad;mes;anio;fecha;alumno;edad;pago;menor_cantidad;adolescentes_cantidad;adultos_cantidad;all;nombre_sede;count_sede1;count_sede2;count_sede3;taller
Gina;200;Miraflores;Escolar;Julio;2022;5/07/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Comas;Escolar;Julio;2022;5/07/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Miraflores;Escolar;Agosto;2022;2/08/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Comas;Escolar;Agosto;2022;2/08/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Miraflores;Escolar;Setiembre;2022;1/09/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Comas;Escolar;Setiembre;2022;1/09/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Miraflores;Escolar;Octubre;2022;4/10/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Comas;Escolar;Octubre;2022;4/10/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Miraflores;Escolar;Noviembre;2022;1/11/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Comas;Escolar;Noviembre;2022;1/11/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Miraflores;Escolar;Diciembre;2022;3/12/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Comas;Escolar;Diciembre;2022;3/12/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Jason;200;Molina;Escolar;Abril;2022;5/04/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Abril;2022;5/04/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Mayo;2022;3/05/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Mayo;2022;3/05/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Junio;2022;7/06/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Junio;2022;7/06/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Villa el Salvador;Escolar;Julio;2022;5/07/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Julio;2022;5/07/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Villa el Salvador;Escolar;Agosto;2022;2/08/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Agosto;2022;2/08/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Villa el Salvador;Escolar;Setiembre;2022;1/09/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Setiembre;2022;1/09/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Villa el Salvador;Escolar;Octubre;2022;4/10/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Octubre;2022;4/10/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Villa el Salvador;Escolar;Noviembre;2022;1/11/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Noviembre;2022;1/11/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Villa el Salvador;Escolar;Diciembre;2022;3/12/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Jason;200;Molina;Escolar;Diciembre;2022;3/12/2022;Kathleen;28;BCP;0;0;1;1;Sede 1;1;0;0;Dibujo
Megan;200;Villa el Salvador;Escolar;Abril;2022;5/04/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Abril;2022;5/04/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Mayo;2022;3/05/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Mayo;2022;3/05/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Junio;2022;7/06/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Junio;2022;7/06/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Julio;2022;5/07/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Molina;Escolar;Julio;2022;5/07/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Agosto;2022;2/08/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Molina;Escolar;Agosto;2022;2/08/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Setiembre;2022;1/09/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Molina;Escolar;Setiembre;2022;1/09/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Octubre;2022;4/10/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Molina;Escolar;Octubre;2022;4/10/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Noviembre;2022;1/11/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Molina;Escolar;Noviembre;2022;1/11/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Villa el Salvador;Escolar;Diciembre;2022;3/12/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Megan;200;Molina;Escolar;Diciembre;2022;3/12/2022;Kristen;27;BVBA;0;0;1;1;Sede 3;0;0;1;Lettering
Katherine;200;Surco;Escolar;Abril;2022;5/04/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Abril;2022;5/04/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Mayo;2022;3/05/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Mayo;2022;3/05/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Junio;2022;7/06/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Junio;2022;7/06/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Julio;2022;5/07/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Julio;2022;5/07/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Agosto;2022;2/08/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Agosto;2022;2/08/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Setiembre;2022;1/09/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Setiembre;2022;1/09/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Octubre;2022;4/10/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Octubre;2022;4/10/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Noviembre;2022;1/11/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Noviembre;2022;1/11/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Katherine;200;Surco;Escolar;Diciembre;2022;3/12/2022;Stacy;26;Scotiabank;0;0;1;1;Sede 2;0;1;0;Manga
Jennifer;200;Molina;Escolar;Diciembre;2022;3/12/2022;Rebecca;26;PLIN;0;0;1;1;Sede 2;0;1;0;Dibujo
Daniel;200;Comas;Escolar;Abril;2022;5/04/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Mayo;2022;3/05/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Junio;2022;7/06/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Julio;2022;5/07/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Agosto;2022;2/08/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Setiembre;2022;1/09/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Octubre;2022;4/10/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Noviembre;2022;1/11/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Daniel;200;Comas;Escolar;Diciembre;2022;3/12/2022;Shannon;25;BCP;0;0;1;1;Sede 1;1;0;0;Pintura
Taylor;200;SJL;Escolar;Abril;2022;5/04/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Abril;2022;5/04/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Mayo;2022;3/05/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Mayo;2022;3/05/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Junio;2022;7/06/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Junio;2022;7/06/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;Miraflores;Escolar;Julio;2022;5/07/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Julio;2022;5/07/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;Miraflores;Escolar;Agosto;2022;2/08/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Agosto;2022;2/08/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;Miraflores;Escolar;Setiembre;2022;1/09/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Setiembre;2022;1/09/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;Miraflores;Escolar;Octubre;2022;4/10/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Octubre;2022;4/10/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;Miraflores;Escolar;Noviembre;2022;1/11/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Noviembre;2022;1/11/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;Miraflores;Escolar;Diciembre;2022;3/12/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Taylor;200;SJL;Escolar;Diciembre;2022;3/12/2022;Mary;23;Efectivo;0;0;1;1;Sede 2;0;1;0;Manga
Judy;200;Villa el Salvador;Escolar;Abril;2022;5/04/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Villa el Salvador;Escolar;Mayo;2022;3/05/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Villa el Salvador;Escolar;Junio;2022;7/06/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Miraflores;Escolar;Julio;2022;5/07/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Miraflores;Escolar;Agosto;2022;2/08/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Miraflores;Escolar;Setiembre;2022;1/09/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Miraflores;Escolar;Octubre;2022;4/10/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Miraflores;Escolar;Noviembre;2022;1/11/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Judy;200;Miraflores;Escolar;Diciembre;2022;3/12/2022;Lauren;22;BCP;0;0;1;1;Sede 2;0;1;0;Comic
Rachel;200;Surco;Escolar;Abril;2022;5/04/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;SJL;Escolar;Abril;2022;5/04/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Villa el Salvador;Escolar;Abril;2022;5/04/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Abril;2022;5/04/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Surco;Escolar;Mayo;2022;3/05/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;SJL;Escolar;Mayo;2022;3/05/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Villa el Salvador;Escolar;Mayo;2022;3/05/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Mayo;2022;3/05/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Surco;Escolar;Junio;2022;7/06/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;SJL;Escolar;Junio;2022;7/06/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Villa el Salvador;Escolar;Junio;2022;7/06/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Junio;2022;7/06/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Villa el Salvador;Escolar;Julio;2022;5/07/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;Miraflores;Escolar;Julio;2022;5/07/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Comas;Escolar;Julio;2022;5/07/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Julio;2022;5/07/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Villa el Salvador;Escolar;Agosto;2022;2/08/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;Miraflores;Escolar;Agosto;2022;2/08/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Comas;Escolar;Agosto;2022;2/08/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Agosto;2022;2/08/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Villa el Salvador;Escolar;Setiembre;2022;1/09/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;Miraflores;Escolar;Setiembre;2022;1/09/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Comas;Escolar;Setiembre;2022;1/09/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Setiembre;2022;1/09/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Villa el Salvador;Escolar;Octubre;2022;4/10/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;Miraflores;Escolar;Octubre;2022;4/10/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Comas;Escolar;Octubre;2022;4/10/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Octubre;2022;4/10/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Villa el Salvador;Escolar;Noviembre;2022;1/11/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;Miraflores;Escolar;Noviembre;2022;1/11/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Comas;Escolar;Noviembre;2022;1/11/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Noviembre;2022;1/11/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Rachel;200;Villa el Salvador;Escolar;Diciembre;2022;3/12/2022;Gina;19;Yape;0;0;1;1;Sede 3;0;0;1;Lettering
Julie;200;Miraflores;Escolar;Diciembre;2022;3/12/2022;Christopher;19;BCP;0;0;1;1;Sede 1;1;0;0;Comic
Randall;200;Comas;Escolar;Diciembre;2022;3/12/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Randall;200;Villa el Salvador;Escolar;Diciembre;2022;3/12/2022;Mary;19;PLIN;0;0;1;1;Sede 2;0;1;0;Lettering
Ian;200;Comas;Escolar;Abril;2022;5/04/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Comas;Escolar;Abril;2022;5/04/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Abril;2022;5/04/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Comas;Escolar;Mayo;2022;3/05/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Comas;Escolar;Mayo;2022;3/05/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Mayo;2022;3/05/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Comas;Escolar;Junio;2022;7/06/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Comas;Escolar;Junio;2022;7/06/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Junio;2022;7/06/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Molina;Escolar;Julio;2022;5/07/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Surco;Escolar;Julio;2022;5/07/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Julio;2022;5/07/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Molina;Escolar;Agosto;2022;2/08/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Surco;Escolar;Agosto;2022;2/08/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Agosto;2022;2/08/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Molina;Escolar;Setiembre;2022;1/09/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Surco;Escolar;Setiembre;2022;1/09/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Setiembre;2022;1/09/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Molina;Escolar;Octubre;2022;4/10/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Surco;Escolar;Octubre;2022;4/10/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Angie;200;Comas;Escolar;Octubre;2022;4/10/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
Ian;200;Molina;Escolar;Noviembre;2022;1/11/2022;Ashley;18;PLIN;0;0;1;1;Sede 1;1;0;0;Dibujo
Angie;200;Surco;Escolar;Noviembre;2022;1/11/2022;Frank;18;BVBA;0;0;1;1;Sede 3;0;0;1;Pintura
